model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_331.nii.gz,WT,49858,,both_nonempty,finite,2.8284271247461903
SegMamba_150epochs,0,BraTS20_Training_331.nii.gz,TC,10778,,both_nonempty,finite,11.40175425099138
SegMamba_150epochs,0,BraTS20_Training_331.nii.gz,ET,2093,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_342.nii.gz,WT,150203,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_342.nii.gz,TC,111871,,both_nonempty,finite,7.211102550927978
SegMamba_150epochs,0,BraTS20_Training_342.nii.gz,ET,57055,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_353.nii.gz,WT,46538,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_353.nii.gz,TC,14715,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_353.nii.gz,ET,9120,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_360.nii.gz,WT,98512,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_360.nii.gz,TC,56523,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_360.nii.gz,ET,43764,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_368.nii.gz,WT,83463,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_368.nii.gz,TC,17989,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_368.nii.gz,ET,16658,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_004.nii.gz,WT,103496,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_004.nii.gz,TC,26400,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,1,BraTS20_Training_004.nii.gz,ET,15498,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_005.nii.gz,WT,21963,,both_nonempty,finite,5.744562646538029
SegMamba_150epochs,1,BraTS20_Training_005.nii.gz,TC,14410,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,1,BraTS20_Training_005.nii.gz,ET,10786,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_009.nii.gz,WT,183094,,both_nonempty,finite,4.242640687119285
SegMamba_150epochs,1,BraTS20_Training_009.nii.gz,TC,76260,,both_nonempty,finite,5.744562646538029
SegMamba_150epochs,1,BraTS20_Training_009.nii.gz,ET,50901,,both_nonempty,finite,3.0
SegMamba_150epochs,1,BraTS20_Training_015.nii.gz,WT,125287,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,1,BraTS20_Training_015.nii.gz,TC,17677,,both_nonempty,finite,6.782329983125268
SegMamba_150epochs,1,BraTS20_Training_015.nii.gz,ET,9002,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_017.nii.gz,WT,100758,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_017.nii.gz,TC,14713,,both_nonempty,finite,3.7416573867739413
SegMamba_150epochs,1,BraTS20_Training_017.nii.gz,ET,7222,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_022.nii.gz,WT,68118,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_022.nii.gz,TC,30637,,both_nonempty,finite,2.0
SegMamba_150epochs,1,BraTS20_Training_022.nii.gz,ET,18221,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_031.nii.gz,WT,87609,,both_nonempty,finite,3.0
SegMamba_150epochs,1,BraTS20_Training_031.nii.gz,TC,28727,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_031.nii.gz,ET,22108,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_034.nii.gz,WT,91573,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_034.nii.gz,TC,44985,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,1,BraTS20_Training_034.nii.gz,ET,24430,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,1,BraTS20_Training_043.nii.gz,WT,37429,,both_nonempty,finite,6.723029142624333
SegMamba_150epochs,1,BraTS20_Training_043.nii.gz,TC,7706,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,1,BraTS20_Training_043.nii.gz,ET,2624,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,1,BraTS20_Training_046.nii.gz,WT,36342,,both_nonempty,finite,12.68857754044952
SegMamba_150epochs,1,BraTS20_Training_046.nii.gz,TC,1520,,both_nonempty,finite,11.045361017187261
SegMamba_150epochs,1,BraTS20_Training_046.nii.gz,ET,1357,,both_nonempty,finite,11.180339887498949
SegMamba_150epochs,1,BraTS20_Training_047.nii.gz,WT,132682,,both_nonempty,finite,5.744562646538029
SegMamba_150epochs,1,BraTS20_Training_047.nii.gz,TC,62246,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,1,BraTS20_Training_047.nii.gz,ET,32001,,both_nonempty,finite,1.0
SegMamba_150epochs,1,BraTS20_Training_048.nii.gz,WT,29239,,both_nonempty,finite,15.684387141358123
